RNAseq	miRNAseq	validated_c	predicted_c	normalized_counts_RNA_vs_miRNA_normalized_counts_correlation	Eigengene_RNA_vs_miRNA_Eigengene_correlation	Eigengene_RNA_vs_miRNA_hub_1_correlation	Eigengene_RNA_vs_miRNA_normalized_counts_correlation	hub_1_RNA_vs_miRNA_normalized_counts_correlation	hub_1_RNA_vs_miRNA_Eigengene_correlation	hub_1_RNA_vs_miRNA_hub_1_correlation	Target_SYMBOL	miRNA_name
ENSMUSG00000021611	MIMAT0000165	1	0	-0.58	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Tert	mmu-miR-155-5p
ENSMUSG00000021650	MIMAT0000154	0	0	-0.48	0.03	-0.21	-0.52	-0.48	0.02	-0.23	Ptcd2	mmu-miR-142a-5p
ENSMUSG00000021650	MIMAT0000158	0	0	-0.43	-0.55	-0.57	-0.55	-0.43	-0.44	-0.47	Ptcd2	mmu-miR-146a-5p
ENSMUSG00000021650	MIMAT0000165	1	0	-0.41	-0.55	-0.57	-0.57	-0.41	-0.44	-0.47	Ptcd2	mmu-miR-155-5p
ENSMUSG00000021660	MIMAT0000154	0	0	0.39	-0.19	0.06	0.46	0.34	-0.33	-0.1	Btf3	mmu-miR-142a-5p
ENSMUSG00000021660	MIMAT0000158	0	3	0.39	0.66	0.75	0.6	0.53	0.57	0.71	Btf3	mmu-miR-146a-5p
ENSMUSG00000021660	MIMAT0000165	0	0	0.4	0.66	0.75	0.76	0.69	0.57	0.71	Btf3	mmu-miR-155-5p
ENSMUSG00000021665	MIMAT0000154	0	0	0.78	0.3	0.34	0.82	0.81	0.29	0.35	Hexb	mmu-miR-142a-5p
ENSMUSG00000021665	MIMAT0000158	0	0	0.89	0.72	0.67	0.92	0.93	0.73	0.68	Hexb	mmu-miR-146a-5p
ENSMUSG00000021665	MIMAT0000165	1	0	0.98	0.72	0.67	0.97	0.98	0.73	0.68	Hexb	mmu-miR-155-5p
ENSMUSG00000021668	MIMAT0000154	0	0	-0.62	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Polk	mmu-miR-142a-5p
ENSMUSG00000021668	MIMAT0000158	0	0	-0.64	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Polk	mmu-miR-146a-5p
ENSMUSG00000021668	MIMAT0000165	1	2	-0.62	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Polk	mmu-miR-155-5p
ENSMUSG00000021669	MIMAT0000154	1	4	-0.55	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Cert1	mmu-miR-142a-5p
ENSMUSG00000021669	MIMAT0000158	0	0	-0.63	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Cert1	mmu-miR-146a-5p
ENSMUSG00000021669	MIMAT0000165	1	0	-0.8	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Cert1	mmu-miR-155-5p
ENSMUSG00000021693	MIMAT0000154	0	0	-0.49	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Kif2a	mmu-miR-142a-5p
ENSMUSG00000021693	MIMAT0000158	0	0	-0.52	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Kif2a	mmu-miR-146a-5p
ENSMUSG00000021693	MIMAT0000165	0	0	-0.68	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Kif2a	mmu-miR-155-5p
ENSMUSG00000021699	MIMAT0000154	0	3	-0.61	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Pde4d	mmu-miR-142a-5p
ENSMUSG00000021699	MIMAT0000158	0	0	-0.65	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Pde4d	mmu-miR-146a-5p
ENSMUSG00000021699	MIMAT0000165	1	1	-0.7	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Pde4d	mmu-miR-155-5p
ENSMUSG00000021704	MIMAT0000154	0	0	-0.64	0.11	0.01	-0.5	-0.55	0.13	0	Mtx3	mmu-miR-142a-5p
ENSMUSG00000021704	MIMAT0000158	0	0	-0.79	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Mtx3	mmu-miR-146a-5p
ENSMUSG00000021704	MIMAT0000165	1	0	-0.94	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Mtx3	mmu-miR-155-5p
ENSMUSG00000021706	MIMAT0000154	0	5	-0.5	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Zfyve16	mmu-miR-142a-5p
ENSMUSG00000021706	MIMAT0000158	0	0	-0.67	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Zfyve16	mmu-miR-146a-5p
ENSMUSG00000021706	MIMAT0000165	1	0	-0.85	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Zfyve16	mmu-miR-155-5p
ENSMUSG00000021712	MIMAT0000154	0	2	-0.59	-0.09	-0.09	-0.62	-0.55	-0.03	-0.06	Trim23	mmu-miR-142a-5p
ENSMUSG00000021712	MIMAT0000158	0	0	-0.77	-0.64	-0.63	-0.84	-0.81	-0.61	-0.63	Trim23	mmu-miR-146a-5p
ENSMUSG00000021712	MIMAT0000165	1	0	-0.91	-0.64	-0.63	-0.94	-0.93	-0.61	-0.63	Trim23	mmu-miR-155-5p
ENSMUSG00000021730	MIMAT0000154	0	4	-0.59	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Hcn1	mmu-miR-142a-5p
ENSMUSG00000021730	MIMAT0000158	0	0	-0.7	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Hcn1	mmu-miR-146a-5p
ENSMUSG00000021730	MIMAT0000165	1	4	-0.83	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Hcn1	mmu-miR-155-5p
ENSMUSG00000021792	MIMAT0000154	0	0	-0.4	0.11	0.01	-0.5	-0.55	0.13	0	Prxl2a	mmu-miR-142a-5p
ENSMUSG00000021792	MIMAT0000158	0	0	-0.77	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Prxl2a	mmu-miR-146a-5p
ENSMUSG00000021792	MIMAT0000165	1	0	-0.72	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Prxl2a	mmu-miR-155-5p
ENSMUSG00000021794	MIMAT0000154	0	0	0.54	-0.04	0.06	0.57	0.56	-0.08	0.05	Glud1	mmu-miR-142a-5p
ENSMUSG00000021794	MIMAT0000158	0	0	0.64	0.66	0.66	0.81	0.79	0.66	0.71	Glud1	mmu-miR-146a-5p
ENSMUSG00000021794	MIMAT0000165	0	0	0.71	0.66	0.66	0.95	0.91	0.66	0.71	Glud1	mmu-miR-155-5p
ENSMUSG00000021798	MIMAT0000154	0	0	-0.25	-0.13	-0.07	-0.17	-0.2	-0.17	-0.05	Ldb3	mmu-miR-142a-5p
ENSMUSG00000021798	MIMAT0000158	0	0	-0.34	-0.32	-0.14	-0.37	-0.35	-0.25	-0.07	Ldb3	mmu-miR-146a-5p
ENSMUSG00000021798	MIMAT0000165	1	2	-0.4	-0.32	-0.14	-0.38	-0.4	-0.25	-0.07	Ldb3	mmu-miR-155-5p
ENSMUSG00000021809	MIMAT0000154	0	0	0.39	-0.09	0.11	0.53	0.51	-0.12	0.09	Nudt13	mmu-miR-142a-5p
ENSMUSG00000021809	MIMAT0000158	0	5	0.48	0.62	0.67	0.73	0.69	0.58	0.57	Nudt13	mmu-miR-146a-5p
ENSMUSG00000021809	MIMAT0000165	1	0	0.25	0.62	0.67	0.78	0.77	0.58	0.57	Nudt13	mmu-miR-155-5p
ENSMUSG00000021822	MIMAT0000154	0	0	0.53	-0.04	0.06	0.57	0.56	-0.08	0.05	Plau	mmu-miR-142a-5p
ENSMUSG00000021822	MIMAT0000158	0	0	0.8	0.66	0.66	0.81	0.79	0.66	0.71	Plau	mmu-miR-146a-5p
ENSMUSG00000021822	MIMAT0000165	1	4	0.81	0.66	0.66	0.95	0.91	0.66	0.71	Plau	mmu-miR-155-5p
ENSMUSG00000021830	MIMAT0000154	0	0	-0.66	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Txndc16	mmu-miR-142a-5p
ENSMUSG00000021830	MIMAT0000158	0	0	-0.72	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Txndc16	mmu-miR-146a-5p
ENSMUSG00000021830	MIMAT0000165	0	4	-0.85	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Txndc16	mmu-miR-155-5p
ENSMUSG00000021838	MIMAT0000154	0	0	-0.35	-0.36	-0.61	-0.75	-0.67	-0.28	-0.56	Samd4	mmu-miR-142a-5p
ENSMUSG00000021838	MIMAT0000158	0	0	-0.37	-0.74	-0.82	-0.61	-0.54	-0.67	-0.73	Samd4	mmu-miR-146a-5p
ENSMUSG00000021838	MIMAT0000165	0	0	-0.29	-0.74	-0.82	-0.52	-0.5	-0.67	-0.73	Samd4	mmu-miR-155-5p
ENSMUSG00000021840	MIMAT0000154	0	0	0.42	0.36	0.21	0.64	0.6	0.43	0.24	Mapk1ip1l	mmu-miR-142a-5p
ENSMUSG00000021840	MIMAT0000158	0	3	0.47	0.34	0.28	0.7	0.67	0.29	0.24	Mapk1ip1l	mmu-miR-146a-5p
ENSMUSG00000021840	MIMAT0000165	1	1	0.45	0.34	0.28	0.75	0.67	0.29	0.24	Mapk1ip1l	mmu-miR-155-5p
ENSMUSG00000021843	MIMAT0000154	0	5	-0.66	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Ktn1	mmu-miR-142a-5p
ENSMUSG00000021843	MIMAT0000158	0	0	-0.68	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Ktn1	mmu-miR-146a-5p
ENSMUSG00000021843	MIMAT0000165	0	0	-0.83	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Ktn1	mmu-miR-155-5p
ENSMUSG00000021876	MIMAT0000154	1	0	0.95	0.48	0.49	0.88	0.91	0.41	0.46	Rnase4	mmu-miR-142a-5p
ENSMUSG00000021876	MIMAT0000158	0	0	0.82	0.42	0.4	0.81	0.86	0.53	0.54	Rnase4	mmu-miR-146a-5p
ENSMUSG00000021876	MIMAT0000165	0	3	0.84	0.42	0.4	0.79	0.86	0.53	0.54	Rnase4	mmu-miR-155-5p
ENSMUSG00000021880	MIMAT0000154	0	0	0.8	0.39	0.44	0.89	0.85	0.41	0.42	Rnase6	mmu-miR-142a-5p
ENSMUSG00000021880	MIMAT0000158	0	0	0.74	0.72	0.71	0.84	0.84	0.76	0.7	Rnase6	mmu-miR-146a-5p
ENSMUSG00000021880	MIMAT0000165	1	1	0.77	0.72	0.71	0.9	0.88	0.76	0.7	Rnase6	mmu-miR-155-5p
ENSMUSG00000021901	MIMAT0000154	0	0	0.15	-0.09	0.11	0.53	0.51	-0.12	0.09	Bap1	mmu-miR-142a-5p
ENSMUSG00000021901	MIMAT0000158	0	0	0.36	0.62	0.67	0.73	0.69	0.58	0.57	Bap1	mmu-miR-146a-5p
ENSMUSG00000021901	MIMAT0000165	1	1	0.39	0.62	0.67	0.78	0.77	0.58	0.57	Bap1	mmu-miR-155-5p
ENSMUSG00000021929	MIMAT0000154	0	0	-0.45	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Kpna3	mmu-miR-142a-5p
ENSMUSG00000021929	MIMAT0000158	0	0	-0.63	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Kpna3	mmu-miR-146a-5p
ENSMUSG00000021929	MIMAT0000165	0	0	-0.75	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Kpna3	mmu-miR-155-5p
ENSMUSG00000021938	MIMAT0000154	0	0	0.43	-0.04	0.06	0.57	0.56	-0.08	0.05	Pspc1	mmu-miR-142a-5p
ENSMUSG00000021938	MIMAT0000158	0	0	0.42	0.66	0.66	0.81	0.79	0.66	0.71	Pspc1	mmu-miR-146a-5p
ENSMUSG00000021938	MIMAT0000165	1	2	0.57	0.66	0.66	0.95	0.91	0.66	0.71	Pspc1	mmu-miR-155-5p
ENSMUSG00000021948	MIMAT0000154	1	0	0.66	-0.04	0.06	0.57	0.56	-0.08	0.05	Prkcd	mmu-miR-142a-5p
ENSMUSG00000021948	MIMAT0000158	0	0	0.9	0.66	0.66	0.81	0.79	0.66	0.71	Prkcd	mmu-miR-146a-5p
ENSMUSG00000021948	MIMAT0000165	0	0	0.83	0.66	0.66	0.95	0.91	0.66	0.71	Prkcd	mmu-miR-155-5p
ENSMUSG00000021951	MIMAT0000154	0	0	0.54	-0.09	0.11	0.53	0.51	-0.12	0.09	Eef1akmt1	mmu-miR-142a-5p
ENSMUSG00000021951	MIMAT0000158	1	6	0.75	0.62	0.67	0.73	0.69	0.58	0.57	Eef1akmt1	mmu-miR-146a-5p
ENSMUSG00000021951	MIMAT0000165	1	0	0.79	0.62	0.67	0.78	0.77	0.58	0.57	Eef1akmt1	mmu-miR-155-5p
ENSMUSG00000021952	MIMAT0000154	0	0	-0.6	-0.18	-0.35	-0.57	-0.58	-0.15	-0.32	Xpo4	mmu-miR-142a-5p
ENSMUSG00000021952	MIMAT0000158	0	0	-0.77	-0.88	-0.84	-0.74	-0.7	-0.83	-0.82	Xpo4	mmu-miR-146a-5p
ENSMUSG00000021952	MIMAT0000165	1	1	-0.78	-0.88	-0.84	-0.75	-0.72	-0.83	-0.82	Xpo4	mmu-miR-155-5p
ENSMUSG00000021959	MIMAT0000154	0	0	0.73	0.3	0.34	0.82	0.81	0.29	0.35	Lats2	mmu-miR-142a-5p
ENSMUSG00000021959	MIMAT0000158	0	2	0.81	0.72	0.67	0.92	0.93	0.73	0.68	Lats2	mmu-miR-146a-5p
ENSMUSG00000021959	MIMAT0000165	1	4	0.92	0.72	0.67	0.97	0.98	0.73	0.68	Lats2	mmu-miR-155-5p
ENSMUSG00000021981	MIMAT0000154	0	0	-0.47	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Cab39l	mmu-miR-142a-5p
ENSMUSG00000021981	MIMAT0000158	0	2	-0.74	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Cab39l	mmu-miR-146a-5p
ENSMUSG00000021981	MIMAT0000165	1	0	-0.85	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Cab39l	mmu-miR-155-5p
ENSMUSG00000021986	MIMAT0000154	0	0	-0.55	-0.18	-0.35	-0.57	-0.58	-0.15	-0.32	Amer2	mmu-miR-142a-5p
ENSMUSG00000021986	MIMAT0000158	0	0	-0.72	-0.88	-0.84	-0.74	-0.7	-0.83	-0.82	Amer2	mmu-miR-146a-5p
ENSMUSG00000021986	MIMAT0000165	0	0	-0.74	-0.88	-0.84	-0.75	-0.72	-0.83	-0.82	Amer2	mmu-miR-155-5p
ENSMUSG00000021987	MIMAT0000154	0	3	-0.55	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Mtmr6	mmu-miR-142a-5p
ENSMUSG00000021987	MIMAT0000158	0	0	-0.59	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Mtmr6	mmu-miR-146a-5p
ENSMUSG00000021987	MIMAT0000165	1	1	-0.67	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Mtmr6	mmu-miR-155-5p
ENSMUSG00000021990	MIMAT0000154	0	0	0.71	0.3	0.34	0.82	0.81	0.29	0.35	Spata13	mmu-miR-142a-5p
ENSMUSG00000021990	MIMAT0000158	0	3	0.83	0.72	0.67	0.92	0.93	0.73	0.68	Spata13	mmu-miR-146a-5p
ENSMUSG00000021990	MIMAT0000165	0	0	0.63	0.72	0.67	0.97	0.98	0.73	0.68	Spata13	mmu-miR-155-5p
ENSMUSG00000021998	MIMAT0000154	0	0	0.79	0.3	0.34	0.82	0.81	0.29	0.35	Lcp1	mmu-miR-142a-5p
ENSMUSG00000021998	MIMAT0000158	0	0	0.92	0.72	0.67	0.92	0.93	0.73	0.68	Lcp1	mmu-miR-146a-5p
ENSMUSG00000021998	MIMAT0000165	1	1	0.91	0.72	0.67	0.97	0.98	0.73	0.68	Lcp1	mmu-miR-155-5p
ENSMUSG00000022003	MIMAT0000154	0	0	-0.51	0.12	-0.04	-0.37	-0.38	0.08	-0.09	Slc25a30	mmu-miR-142a-5p
ENSMUSG00000022003	MIMAT0000158	0	0	-0.42	-0.29	-0.35	-0.49	-0.51	-0.33	-0.38	Slc25a30	mmu-miR-146a-5p
ENSMUSG00000022003	MIMAT0000165	1	0	-0.36	-0.29	-0.35	-0.52	-0.52	-0.33	-0.38	Slc25a30	mmu-miR-155-5p
ENSMUSG00000022012	MIMAT0000154	0	0	0.65	0.12	0.06	0.49	0.51	0.04	0.02	Enox1	mmu-miR-142a-5p
ENSMUSG00000022012	MIMAT0000158	0	0	0.87	0.46	0.36	0.81	0.84	0.51	0.48	Enox1	mmu-miR-146a-5p
ENSMUSG00000022012	MIMAT0000165	0	0	0.89	0.46	0.36	0.86	0.88	0.51	0.48	Enox1	mmu-miR-155-5p
ENSMUSG00000022014	MIMAT0000154	0	0	0.51	-0.04	0.06	0.57	0.56	-0.08	0.05	Epsti1	mmu-miR-142a-5p
ENSMUSG00000022014	MIMAT0000158	0	0	0.76	0.66	0.66	0.81	0.79	0.66	0.71	Epsti1	mmu-miR-146a-5p
ENSMUSG00000022014	MIMAT0000165	1	0	0.93	0.66	0.66	0.95	0.91	0.66	0.71	Epsti1	mmu-miR-155-5p
ENSMUSG00000022016	MIMAT0000154	0	3	-0.61	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Akap11	mmu-miR-142a-5p
ENSMUSG00000022016	MIMAT0000158	0	0	-0.76	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Akap11	mmu-miR-146a-5p
ENSMUSG00000022016	MIMAT0000165	1	0	-0.88	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Akap11	mmu-miR-155-5p
ENSMUSG00000022025	MIMAT0000154	0	0	0.57	-0.11	-0.01	0.42	0.47	-0.09	0.06	Cnmd	mmu-miR-142a-5p
ENSMUSG00000022025	MIMAT0000158	0	0	0.61	0.67	0.6	0.67	0.7	0.75	0.73	Cnmd	mmu-miR-146a-5p
ENSMUSG00000022025	MIMAT0000165	0	0	0.85	0.67	0.6	0.83	0.78	0.75	0.73	Cnmd	mmu-miR-155-5p
ENSMUSG00000022031	MIMAT0000154	0	0	-0.58	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Elp3	mmu-miR-142a-5p
ENSMUSG00000022031	MIMAT0000158	0	0	-0.77	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Elp3	mmu-miR-146a-5p
ENSMUSG00000022031	MIMAT0000165	1	0	-0.78	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Elp3	mmu-miR-155-5p
ENSMUSG00000022055	MIMAT0000154	0	0	-0.46	0.03	-0.21	-0.52	-0.48	0.02	-0.23	Nefl	mmu-miR-142a-5p
ENSMUSG00000022055	MIMAT0000158	0	5	-0.47	-0.55	-0.57	-0.55	-0.43	-0.44	-0.47	Nefl	mmu-miR-146a-5p
ENSMUSG00000022055	MIMAT0000165	0	0	-0.47	-0.55	-0.57	-0.57	-0.41	-0.44	-0.47	Nefl	mmu-miR-155-5p
ENSMUSG00000022075	MIMAT0000154	0	0	0.51	-0.04	0.06	0.57	0.56	-0.08	0.05	Rhobtb2	mmu-miR-142a-5p
ENSMUSG00000022075	MIMAT0000158	0	3	0.79	0.66	0.66	0.81	0.79	0.66	0.71	Rhobtb2	mmu-miR-146a-5p
ENSMUSG00000022075	MIMAT0000165	1	1	0.94	0.66	0.66	0.95	0.91	0.66	0.71	Rhobtb2	mmu-miR-155-5p
ENSMUSG00000022091	MIMAT0000154	0	0	0.69	0.3	0.34	0.82	0.81	0.29	0.35	Sorbs3	mmu-miR-142a-5p
ENSMUSG00000022091	MIMAT0000158	0	0	0.78	0.72	0.67	0.92	0.93	0.73	0.68	Sorbs3	mmu-miR-146a-5p
ENSMUSG00000022091	MIMAT0000165	1	0	0.9	0.72	0.67	0.97	0.98	0.73	0.68	Sorbs3	mmu-miR-155-5p
ENSMUSG00000022096	MIMAT0000154	0	0	0.75	0.3	0.34	0.82	0.81	0.29	0.35	Hr	mmu-miR-142a-5p
ENSMUSG00000022096	MIMAT0000158	0	0	0.64	0.72	0.67	0.92	0.93	0.73	0.68	Hr	mmu-miR-146a-5p
ENSMUSG00000022096	MIMAT0000165	1	0	0.76	0.72	0.67	0.97	0.98	0.73	0.68	Hr	mmu-miR-155-5p
ENSMUSG00000022098	MIMAT0000154	0	0	0.55	0.04	0.26	0.6	0.55	-0.02	0.17	Bmp1	mmu-miR-142a-5p
ENSMUSG00000022098	MIMAT0000158	0	0	0.66	0.7	0.69	0.7	0.66	0.75	0.71	Bmp1	mmu-miR-146a-5p
ENSMUSG00000022098	MIMAT0000165	1	0	0.69	0.7	0.69	0.68	0.69	0.75	0.71	Bmp1	mmu-miR-155-5p
ENSMUSG00000022105	MIMAT0000154	0	0	-0.1	0.35	0.11	-0.26	-0.21	0.42	0.22	Rb1	mmu-miR-142a-5p
ENSMUSG00000022105	MIMAT0000158	0	0	-0.17	-0.46	-0.69	-0.31	-0.36	-0.48	-0.66	Rb1	mmu-miR-146a-5p
ENSMUSG00000022105	MIMAT0000165	1	0	-0.3	-0.46	-0.69	-0.53	-0.61	-0.48	-0.66	Rb1	mmu-miR-155-5p
ENSMUSG00000022109	MIMAT0000154	0	0	0.05	0.25	0.02	-0.01	0.05	0.22	-0.05	Med4	mmu-miR-142a-5p
ENSMUSG00000022109	MIMAT0000158	0	0	0.02	-0.17	-0.2	-0.1	0.02	-0.15	-0.14	Med4	mmu-miR-146a-5p
ENSMUSG00000022109	MIMAT0000165	1	0	0	-0.17	-0.2	-0.11	0	-0.15	-0.14	Med4	mmu-miR-155-5p
ENSMUSG00000022114	MIMAT0000154	0	0	0.52	-0.04	0.06	0.57	0.56	-0.08	0.05	Spry2	mmu-miR-142a-5p
ENSMUSG00000022114	MIMAT0000158	0	0	0.75	0.66	0.66	0.81	0.79	0.66	0.71	Spry2	mmu-miR-146a-5p
ENSMUSG00000022114	MIMAT0000165	1	0	0.6	0.66	0.66	0.95	0.91	0.66	0.71	Spry2	mmu-miR-155-5p
ENSMUSG00000022119	MIMAT0000154	0	3	-0.43	0.11	0.01	-0.5	-0.55	0.13	0	Rbm26	mmu-miR-142a-5p
ENSMUSG00000022119	MIMAT0000158	0	0	-0.74	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Rbm26	mmu-miR-146a-5p
ENSMUSG00000022119	MIMAT0000165	1	4	-0.85	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Rbm26	mmu-miR-155-5p
ENSMUSG00000022125	MIMAT0000154	0	0	0.85	0.39	0.44	0.89	0.85	0.41	0.42	Cln5	mmu-miR-142a-5p
ENSMUSG00000022125	MIMAT0000158	0	4	0.63	0.72	0.71	0.84	0.84	0.76	0.7	Cln5	mmu-miR-146a-5p
ENSMUSG00000022125	MIMAT0000165	1	1	0.78	0.72	0.71	0.9	0.88	0.76	0.7	Cln5	mmu-miR-155-5p
ENSMUSG00000022136	MIMAT0000154	0	3	0.04	0.39	0.11	0.11	0.1	0.3	0.04	Dnajc3	mmu-miR-142a-5p
ENSMUSG00000022136	MIMAT0000158	0	0	0.03	-0.24	-0.42	0.1	0.18	-0.18	-0.38	Dnajc3	mmu-miR-146a-5p
ENSMUSG00000022136	MIMAT0000165	1	2	0.01	-0.24	-0.42	0.09	0.22	-0.18	-0.38	Dnajc3	mmu-miR-155-5p
ENSMUSG00000022139	MIMAT0000154	1	3	-0.64	0.1	-0.1	-0.58	-0.56	0.13	-0.06	Mbnl2	mmu-miR-142a-5p
ENSMUSG00000022139	MIMAT0000158	0	5	-0.69	-0.67	-0.74	-0.72	-0.72	-0.6	-0.67	Mbnl2	mmu-miR-146a-5p
ENSMUSG00000022139	MIMAT0000165	1	1	-0.79	-0.67	-0.74	-0.85	-0.85	-0.6	-0.67	Mbnl2	mmu-miR-155-5p
ENSMUSG00000022142	MIMAT0000154	0	0	-0.37	0.11	0.01	-0.5	-0.55	0.13	0	Nup155	mmu-miR-142a-5p
ENSMUSG00000022142	MIMAT0000158	0	0	-0.55	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Nup155	mmu-miR-146a-5p
ENSMUSG00000022142	MIMAT0000165	1	1	-0.78	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Nup155	mmu-miR-155-5p
ENSMUSG00000022146	MIMAT0000154	0	0	0.81	0.3	0.34	0.82	0.81	0.29	0.35	Osmr	mmu-miR-142a-5p
ENSMUSG00000022146	MIMAT0000158	0	0	0.91	0.72	0.67	0.92	0.93	0.73	0.68	Osmr	mmu-miR-146a-5p
ENSMUSG00000022146	MIMAT0000165	0	0	0.88	0.72	0.67	0.97	0.98	0.73	0.68	Osmr	mmu-miR-155-5p
ENSMUSG00000022148	MIMAT0000154	0	0	0.65	0.3	0.34	0.82	0.81	0.29	0.35	Fyb	mmu-miR-142a-5p
ENSMUSG00000022148	MIMAT0000158	0	0	0.81	0.72	0.67	0.92	0.93	0.73	0.68	Fyb	mmu-miR-146a-5p
ENSMUSG00000022148	MIMAT0000165	1	0	0.94	0.72	0.67	0.97	0.98	0.73	0.68	Fyb	mmu-miR-155-5p
ENSMUSG00000022175	MIMAT0000154	0	0	0.44	0.02	0.08	0.65	0.67	0.05	0.09	Lrp10	mmu-miR-142a-5p
ENSMUSG00000022175	MIMAT0000158	0	0	0.72	0.72	0.7	0.8	0.83	0.7	0.69	Lrp10	mmu-miR-146a-5p
ENSMUSG00000022175	MIMAT0000165	1	0	0.8	0.72	0.7	0.93	0.92	0.7	0.69	Lrp10	mmu-miR-155-5p
ENSMUSG00000022185	MIMAT0000154	0	6	0.8	0.48	0.49	0.88	0.91	0.41	0.46	Acin1	mmu-miR-142a-5p
ENSMUSG00000022185	MIMAT0000158	0	0	0.83	0.42	0.4	0.81	0.86	0.53	0.54	Acin1	mmu-miR-146a-5p
ENSMUSG00000022185	MIMAT0000165	0	0	0.7	0.42	0.4	0.79	0.86	0.53	0.54	Acin1	mmu-miR-155-5p
ENSMUSG00000022203	MIMAT0000154	0	0	0.45	0.3	0.34	0.82	0.81	0.29	0.35	Efs	mmu-miR-142a-5p
ENSMUSG00000022203	MIMAT0000158	0	0	0.64	0.72	0.67	0.92	0.93	0.73	0.68	Efs	mmu-miR-146a-5p
ENSMUSG00000022203	MIMAT0000165	0	0	0.67	0.72	0.67	0.97	0.98	0.73	0.68	Efs	mmu-miR-155-5p
ENSMUSG00000022216	MIMAT0000154	0	0	0.63	-0.16	-0.04	0.59	0.63	-0.09	-0.03	Psme1	mmu-miR-142a-5p
ENSMUSG00000022216	MIMAT0000158	0	0	0.56	0.53	0.65	0.7	0.69	0.55	0.66	Psme1	mmu-miR-146a-5p
ENSMUSG00000022216	MIMAT0000165	0	0	0.82	0.53	0.65	0.87	0.87	0.55	0.66	Psme1	mmu-miR-155-5p
ENSMUSG00000022218	MIMAT0000154	0	0	0.67	0.3	0.34	0.82	0.81	0.29	0.35	Tgm1	mmu-miR-142a-5p
ENSMUSG00000022218	MIMAT0000158	0	0	0.87	0.72	0.67	0.92	0.93	0.73	0.68	Tgm1	mmu-miR-146a-5p
ENSMUSG00000022218	MIMAT0000165	1	0	0.97	0.72	0.67	0.97	0.98	0.73	0.68	Tgm1	mmu-miR-155-5p
ENSMUSG00000022228	MIMAT0000154	1	2	-0.45	0.11	0.01	-0.5	-0.55	0.13	0	Zscan26	mmu-miR-142a-5p
ENSMUSG00000022228	MIMAT0000158	0	0	-0.71	-0.56	-0.6	-0.77	-0.74	-0.61	-0.72	Zscan26	mmu-miR-146a-5p
ENSMUSG00000022228	MIMAT0000165	1	4	-0.83	-0.56	-0.6	-0.91	-0.92	-0.61	-0.72	Zscan26	mmu-miR-155-5p
